Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125658-145331,PG,Tyrese,Tyrese Maxey,Maxey,51.42973038956926,37,15000,22500,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.94736842105263,38,14200,21300,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-49111,C,Joel,Joel Embiid,Embiid,39.223810105096724,21,13000,19500,CLE@PHI,PHI,CLE,P,Knee,,,,MVP - 1.5X Points/UTIL
125658-157845,PF/C,Evan,Evan Mobley,Mobley,40.91944376627604,36,12400,18600,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-110342,PG,Darius,Darius Garland,Garland,31.21538367638221,26,10000,15000,CLE@PHI,CLE,PHI,O,Toe,,,,MVP - 1.5X Points/UTIL
125658-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,33.17714146205357,35,9200,13800,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-12341,SF/PF,Paul,Paul George,George,31.540910200639203,22,8200,12300,CLE@PHI,PHI,CLE,P,Knee,,,,MVP - 1.5X Points/UTIL
125658-80821,C/PF,Jarrett,Jarrett Allen,Allen,29.75666707356771,30,7600,11400,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-203728,SF/SG,Jaylon,Jaylon Tyson,Tyson,25.39729762721706,37,5400,8100,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-157826,SG/SF,Quentin,Quentin Grimes,Grimes,26.68378345386402,37,4600,6900,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-145317,SF/SG,Sam,Sam Merrill,Merrill,21.725001017252605,24,4400,6600,CLE@PHI,CLE,PHI,O,Hand,,,,MVP - 1.5X Points/UTIL
125658-189467,PG,Craig,Craig Porter,Porter,17.386486156566722,37,4200,6300,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-58153,SG/SF,Kelly,Kelly Oubre,Oubre,25.488234576056986,17,4000,6000,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,23.2027027027027,37,3800,5700,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-171925,PF/C,Dominick,Dominick Barlow,Barlow,19.982758620689655,29,3600,5400,CLE@PHI,PHI,CLE,Q,Back,,,,MVP - 1.5X Points/UTIL
125658-80806,PG,Lonzo,Lonzo Ball,Ball,19.74285670689174,28,3400,5100,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-15557,C,Andre,Andre Drummond,Drummond,22.141176111557904,34,3200,4800,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-203771,C,Adem,Adem Bona,Bona,13.326666259765625,30,2600,3900,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-213172,PF/SF,Nae'Qwan,Nae'Qwan Tomlin,Tomlin,14.751612509450604,31,2200,3300,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-110883,PF/SF,Dean,Dean Wade,Wade,16.011765423943014,34,1800,2700,CLE@PHI,CLE,PHI,O,Knee,,,,MVP - 1.5X Points/UTIL
125658-67312,C,Thomas,Thomas Bryant,Bryant,10.07000020345052,30,1600,2400,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-171764,PF,Jabari,Jabari Walker,Walker,10.043243408203125,37,1600,2400,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-158856,PF/C,Trendon,Trendon Watford,Watford,17.02777777777778,18,1400,2100,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-203731,SG/PG,Jared,Jared McCain,McCain,12.906667073567709,30,1400,2100,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-20992,C,Larry,Larry Nance,Nance,10.305882173426012,17,1200,1800,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-203772,PF/SF,Justin,Justin Edwards,Edwards,10.638709283644154,31,1200,1800,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-112708,SG/SF,Max,Max Strus,Strus,21.42542331501589,59,1000,1500,CLE@PHI,CLE,PHI,O,Foot,,,,MVP - 1.5X Points/UTIL
125658-228171,PF,Johni,Johni Broome,Broome,5.085714067731585,7,1000,1500,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-9556,SG,Eric,Eric Gordon,Gordon,8.65000025431315,6,1000,1500,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-171798,SF,Luke,Luke Travers,Travers,8.358333587646484,12,1000,1500,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-171802,SG,MarJon,MarJon Beauchamp,Beauchamp,4.237142944335938,35,1000,1500,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL
125658-188465,SF,Chris,Chris Livingston,Livingston,5.700000127156575,3,1000,1500,CLE@PHI,CLE,PHI,O,Knee,,,,MVP - 1.5X Points/UTIL
125658-228159,PG,Tyrese,Tyrese Proctor,Proctor,8.464285714285714,28,1000,1500,CLE@PHI,CLE,PHI,,,,,,MVP - 1.5X Points/UTIL
125658-9535,PG,Kyle,Kyle Lowry,Lowry,3.5166667302449546,6,1000,1500,CLE@PHI,PHI,CLE,,,,,,MVP - 1.5X Points/UTIL